REF_AREA,FREQ,MEASURE,ACTIVITY,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,ADJUSTMENT,CONVERSION_TYPE,TIME_PERIOD,OBS_VALUE
USA,Q,ULCE,_T,PP,V,G1,S,NC,2020-Q3,-2.766444
USA,Q,ULCE,_T,PP,V,G1,S,NC,2020-Q4,2.376129
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q1,-0.325423
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q2,0.9113376
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q3,1.705639
USA,Q,ULCE,_T,PP,V,G1,S,NC,2021-Q4,0.6659611
USA,Q,ULCE,_T,PP,V,G1,S,NC,2022-Q1,1.346012
USA,Q,ULCE,_T,PP,V,G1,S,NC,2022-Q2,0.6509072
USA,Q,ULCE,_T,PP,V,G1,S,NC,2022-Q3,1.444478
USA,Q,ULCE,_T,PP,V,G1,S,NC,2022-Q4,-0.1528756
USA,Q,ULCE,_T,PP,V,G1,S,NC,2023-Q1,0.9092491
USA,Q,ULCE,_T,PP,V,G1,S,NC,2023-Q2,0.5514451
USA,Q,ULCE,_T,PP,V,G1,S,NC,2023-Q3,0.5009812
USA,Q,ULCE,_T,PP,V,G1,S,NC,2023-Q4,0.423185
USA,Q,ULCE,_T,PP,V,G1,S,NC,2024-Q1,1.65796
USA,Q,ULCE,_T,PP,V,G1,S,NC,2024-Q2,0.3687912
USA,Q,ULCE,_T,PP,V,G1,S,NC,2024-Q3,0.3283138
USA,Q,ULCE,_T,PP,V,G1,S,NC,2024-Q4,0.6768915
USA,Q,ULCE,_T,PP,V,G1,S,NC,2025-Q1,1.508139
USA,Q,ULCE,_T,PP,V,G1,S,NC,2025-Q2,-0.2906548
USA,Q,ULCE,_T,PP,V,G1,S,NC,2025-Q3,-0.2474805
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1970-Q1,-0.4087226
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1970-Q2,0.3251002
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1970-Q3,0.9471231
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1970-Q4,-1.105519
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1971-Q1,2.619607
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1971-Q2,0.2301321
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1971-Q3,0.1250112
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1971-Q4,-0.6621755
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1972-Q1,0.6033092
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1972-Q2,1.442443
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1972-Q3,0.2401129
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1972-Q4,0.9982212
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1973-Q1,1.448261
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1973-Q2,-0.04970468
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1973-Q3,-1.147236
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1973-Q4,-0.1113145
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1974-Q1,-1.400502
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1974-Q2,0.09338558
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1974-Q3,-1.223955
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1974-Q4,0.1764118
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1975-Q1,0.2070002
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1975-Q2,0.7442246
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1975-Q3,0.762656
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1975-Q4,0.9241148
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1976-Q1,0.8629422
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1976-Q2,-0.2956661
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1976-Q3,-0.0975946
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1976-Q4,0.2648957
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1977-Q1,0.3027224
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1977-Q2,0.4939028
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1977-Q3,0.9790791
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1977-Q4,-1.311574
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1978-Q1,-0.6499032
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1978-Q2,2.475357
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1978-Q3,0.4168935
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1978-Q4,0.3005236
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1979-Q1,-0.6891353
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1979-Q2,-0.01434069
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1979-Q3,0.0612509
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1979-Q4,-0.3495947
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1980-Q1,0.08852416
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1980-Q2,-1.160745
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1980-Q3,-0.06429067
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1980-Q4,1.250628
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1981-Q1,1.206762
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1981-Q2,-1.294518
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1981-Q3,1.518774
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1981-Q4,-0.6893045
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1982-Q1,-1.190291
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1982-Q2,0.4199067
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1982-Q3,-0.1801152
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1982-Q4,0.4669212
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1983-Q1,1.294327
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1983-Q2,1.454792
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1983-Q3,0.3266197
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1983-Q4,1.113961
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1984-Q1,0.8965183
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1984-Q2,0.3951632
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1984-Q3,0.6544587
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1984-Q4,0.2678931
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1985-Q1,0.3335013
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1985-Q2,0.7142265
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1985-Q3,1.153113
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1985-Q4,-0.03714635
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1986-Q1,0.2728419
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1986-Q2,0.01704787
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1986-Q3,0.2552755
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1986-Q4,0.06142643
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1987-Q1,0.09505259
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1987-Q2,0.2202123
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1987-Q3,0.2335577
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1987-Q4,1.125616
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1988-Q1,0.01825318
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1988-Q2,0.8455707
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1988-Q3,0.05350536
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1988-Q4,0.7084207
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1989-Q1,0.2486238
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1989-Q2,0.4450045
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1989-Q3,0.4929538
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1989-Q4,-0.04122067
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1990-Q1,-0.04437545
USA,Q,GDPEMP,_T,PP,Q,G1,S,NC,1990-Q2,0.4633271
